ID;gebied;knp;x-coord;y-coord;mv;;;;;
*KNP;;201990;96131190;437673040;-1.67;;;0;;
*KNP;;200259;96340840;437614560;-1.58;;;0;;
*KNP;;200236;96303930;437469940;-1.35;;;0;;
*KNP;;4500978;96011179;437261930;-1.77;;;0;0.8;0.8
*KNP;;4500981;95943112;437285670;-1.71;;;0;;
*KNP;;4500976;95951521;437285752;-1.51;;;0;;
*KNP;;206100;95856310;437593910;-2.19;;;;;
*KNP;;206110;95972050;437737090;-1.73;;;;;
*KNP;;206123;95668500;437546840;-1.25;;;;;
*KNP;;206118;95684100;437653440;-1.63;;;;;
*KNP;;200022;96136842;437372934;0.37;;;0;;
*KNP;;206106;95922780;437750620;-1.35;;;;;
*KNP;;203410;95428130;436703040;3.83;;;0;;
*KNP;;200251;96403717;437691573;-1.46;;;0;;
*KNP;;200245;96344782;437560025;-1.39;;;0;;
*KNP;;200224;96187960;437645680;-1.25;;;0;;
*KNP;;200228;96238890;437608000;-1.52;;;0;;
*KNP;;200254;96412410;437710810;-1.45;;;0;;
*KNP;;203134;95310945;437614085;-0.94;;;0;;
*KNP;;201508;95610493;437271300;-2.23;;;0;;
*KNP;;200097;95898070;437489280;-1.68;;;0;;
*KNP;;200105;95972600;437674320;-2.04;;;0;;
*KNP;;200112;95950870;437561016;-1.68;;;0;;
*KNP;;200172;95855379;437198574;-1.93;;;0;;
*KNP;;200179;95789269;437244859;-1.84;;;0;;
*KNP;;200195;95967917;437214394;-1.82;;;0;;
*KNP;;201891;95549639;437409712;-1.44;;;0;;
*KNP;;200732;95397230;437265280;-1.13;;;0;;
*KNP;;201570;95459800;436736360;3.79;;;0;;
*KNP;;200776;95683583;437498779;-1.67;;;0;;
*KNP;;200819;95938190;437476378;-1.96;;;0;;
*KNP;;200779;95673957;437473977;-1.56;;;0;;
*KNP;;201797;95787665;437516448;-1.25;;;0;;
*KNP;;201461;95818275;437860907;-2.03;;;0;;
*KNP;;200812;95797870;437491750;-1.29;;;0;1;1
*KNP;;200060;96335178;437298334;-1.45;;;0;;
*KNP;;200240;96306577;437428561;-2.17;;;0;;
*KNP;;200021;96092626;437264805;-1.04;;;0;;
*KNP;;201513;95252270;437298840;-1.11;;;0;;
*KNP;;200721;95350551;437603096;-1.33;;;0;;
*KNP;;200728;95410900;437361192;-1.52;;;0;;
*KNP;;200892;95490156;437454270;-1.45;;;0;;
*KNP;;200890;95510508;437526272;-1.53;;;0;;
*KNP;;200177;95925713;437179720;-1.77;;;0;;
*KNP;;200774;95651520;437522130;-1.53;;;0;;
*KNP;;200772;95589180;437507156;-1.20;;;0;;
*KNP;;200883;95629540;437556960;-1.25;;;0;;
*KNP;;201512;95285720;437291310;-1.45;;;0;;
*KNP;;210289;96059499;437281123;-1.47;;;;0.8;0.8
*KNP;;210290;96051989;437284766;-1.71;;;;;
*KNP;;210291;96047753;437286950;-1.82;;;;0.8;0.8
*KNP;;210292;96052943;437302082;-1.80;;;;0.8;0.8
*KNP;;210293;96059245;437320490;-1.70;;;;0.8;0.8
*KNP;;4541732;95521310;436886660;0.60;;;0;0.8;0.8
*KNP;;4541733;95509111;436891677;0.60;;;0;0.8;0.8
*KNP;;4541734;95546007;436936127;-0.32;;;0;1;1
*KNP;;4541738;95574271;437005351;-1.35;;;0;1;1
*KNP;;4541739;95602394;437074069;-1.39;;;0;1;1
*KNP;;4541743;95631151;437144834;-1.42;;;0;1;1
*KNP;;4541748;95616687;437213144;-1.60;;;0;1.25;1.25
*KNP;;4541750;95603381;437227727;-1.95;;;0;1.25;1.25
*KNP;;4541753;95619291;437222925;-1.50;;;0;1.25;1.25
*KNP;;4541754;95657192;437130789;-2.00;;;0;0.8;0.8
*KNP;;4541755;95665846;437198344;-1.55;;;0;1.25;1.25
*KNP;;4541756;95654699;437203107;-1.45;;;0;1.25;1.25
*KNP;;4541760;95675653;437254261;-1.62;;;0;1;1
*KNP;;4541761;95688694;437250286;-1.55;;;0;1;1
*KNP;;4541763;95700624;437315382;-1.37;;;0;0.8;0.8
*KNP;;4541768;95723573;437371874;-1.27;;;0;0.8;0.8
*KNP;;4541769;95747730;437431266;-1.41;;;0;0.8;0.8
*KNP;;4541771;95715816;437483149;-1.30;;;0;1;1
*KNP;;4541772;95735702;437479181;-1.44;;;0;1;1
*KNP;;4540992;95736714;437485151;-1.32;;;0;1;1
*KNP;;4540993;95750040;437502505;-1.32;;;0;1;1
*KNP;;4540994;95764940;437498939;-1.32;;;0;1;1
*KNP;;4541728;95759762;437426168;-1.55;;;0;1;1
*KNP;;4541730;95757422;437455400;-1.25;;;0;0.8;0.8
*KNP;;4541731;95525211;436885062;0.85;;;0;0.6;0.6
*KNP;;4544479;96121038;437492840;-1.34;;;0;0.8;0.8
*KNP;;4544486;96183154;437647675;-1.15;;;0;0.1;1
*KNP;;4544487;96154650;437576802;-1.13;;;0;0.8;0.8
*KNP;;4544488;96223435;437747914;-1.24;;;0;0.8;0.8
*KNP;;4544489;96205368;437702799;-1.26;;;0;0.8;0.8
*KNP;;4544490;96184334;437650605;-1.20;;;0;1;1
*KNP;;4545016;95666176;437138005;;;;0;;
*KNP;;4534716;96286266;437289388;-1.42;;;0;;
*KNP;;4534717;96189636;437327828;-1.32;;;0;;
*KNP;;4534718;96215522;437318609;-1.46;;;0;;
